orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
no Northern Province,2024W2,0,0,0,0,0,0,2,3,9,0,2,1506,25131,34526,35043,1,2,26,0,0,0,0,0,0,2
ls Lusaka Province,2024W2,0,0,0,0,1,5,68,125,2913,12,29,1842,843,4453,5056,0,0,0,0,0,0,0,0,5,5
ea Eastern Province,2024W2,0,3,3,0,2,4,13,22,23,33,48,3021,8827,24198,24553,1,2,2,0,0,0,0,0,0,0
lu Luapula Province,2024W2,0,0,0,0,0,0,0,0,0,57,66,1182,21479,31761,33896,0,0,88,0,0,0,0,0,0,0
ce Central Province,2024W2,0,1,1,0,0,0,17,92,231,167,8,2598,15179,28505,29154,2,6,37,0,0,0,0,0,0,0
nw North-Western Province,2024W20,0,0,0,0,0,0,0,0,16,749,488,1844,18583,34852,35165,0,1,2,0,0,0,0,1,2,2
so Southern Province,2024W20,0,5,5,0,0,0,0,0,4,41,0,4028,423,3705,3895,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W20,0,2,2,0,2,10,0,0,0,8,8,2599,8277,17963,21809,16,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W20,0,0,0,0,0,0,0,0,0,0,1,795,4973,9107,15651,0,0,6,0,0,0,0,0,0,0
co Copperbelt Province,2024W20,0,0,2,0,0,0,1,7,8,783,239,2393,17859,36252,39116,0,0,0,0,0,0,0,0,0,2
ls Lusaka Province,2024W20,0,3,3,0,0,0,1,1,16,59,27,1737,1332,6931,7039,0,0,2,0,0,0,0,1,6,10
ea Eastern Province,2024W20,0,2,2,0,0,0,0,0,0,18,51,3036,27906,51194,52395,0,1,3,0,0,0,0,0,0,0
lu Luapula Province,2024W20,0,0,0,0,0,0,0,0,0,1,1,1383,21106,32245,32828,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W20,0,0,0,0,0,0,0,0,0,1,67,3435,11028,25139,25399,39,4,11,0,0,0,0,0,0,0
no Northern Province,2024W20,0,2,2,0,0,0,0,0,0,0,11,1708,13218,23691,24414,0,0,29,0,0,0,0,0,0,1
co Copperbelt Province,2024W21,0,0,0,0,0,0,0,10,13,241,241,2649,16911,35708,39144,0,0,0,0,0,0,0,0,0,22
nw North-Western Province,2024W21,0,0,0,0,0,0,0,0,0,731,438,1844,18185,33079,33552,0,0,14,0,0,0,0,0,0,28
so Southern Province,2024W21,0,2,2,0,0,0,0,0,9,0,11,3896,334,3113,3280,0,2,3,0,0,0,0,0,0,0
we Western Province,2024W21,0,3,3,0,0,4,0,0,0,56,45,2584,7524,17147,18957,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W21,0,0,0,0,0,0,0,0,0,0,0,650,3626,6555,12963,0,5,40,0,0,0,0,0,0,0
no Northern Province,2024W21,0,0,0,0,0,0,0,0,0,0,3,1688,12085,20906,21658,0,0,63,0,0,0,0,0,0,3
ls Lusaka Province,2024W21,0,4,4,0,0,0,3,3,3,137,130,1828,1429,6806,7003,0,0,1,0,0,0,0,0,4,5
ea Eastern Province,2024W21,0,1,1,0,0,0,0,1,1,17,26,2935,25162,46922,48888,0,1,6,0,0,0,0,0,0,0
lu Luapula Province,2024W21,0,0,0,0,0,0,0,0,0,3,8,1308,19528,31421,31594,0,1,7,0,0,0,0,0,0,0
ce Central Province,2024W21,0,0,0,0,0,0,0,0,0,0,36,3142,10445,23712,23862,0,0,0,0,0,0,0,0,0,9
nw North-Western Province,2024W22,0,0,0,0,0,0,0,0,0,901,946,1978,18044,34267,34684,0,0,4,1,1,0,0,0,2,2
so Southern Province,2024W22,0,0,1,0,0,6,0,0,5,0,9,3598,281,3006,3204,0,0,1,0,0,0,0,0,0,0
we Western Province,2024W22,0,1,1,0,0,4,0,0,0,20,8,2358,6386,15638,17906,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W22,0,0,0,0,0,0,0,0,0,0,0,747,3557,7214,13639,0,0,21,0,0,0,0,0,0,0
co Copperbelt Province,2024W22,0,0,0,0,0,0,0,1,1,170,171,2054,14429,32392,34913,0,1,1,0,0,0,0,0,5,5
ls Lusaka Province,2024W22,0,2,2,0,0,0,0,2,4,200,206,2127,1362,6807,6926,0,1,2,0,0,0,0,0,4,6
ea Eastern Province,2024W22,0,1,1,0,0,2,37,42,47,12,73,2901,26128,47265,49178,0,1,4,0,0,0,0,0,0,0
lu Luapula Province,2024W22,0,1,1,0,0,0,0,0,0,0,0,1290,18672,30477,30979,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W22,0,0,0,0,0,0,1,6,6,0,59,3083,9706,23304,23477,0,0,0,0,0,0,0,0,0,16
no Northern Province,2024W22,0,1,2,0,0,0,0,0,0,0,3,1440,12350,22000,22743,0,0,41,0,0,0,0,0,0,0
nw North-Western Province,2024W23,0,0,0,0,0,0,0,0,0,871,886,2175,15221,29361,29955,0,0,9,0,0,0,0,0,11,29
so Southern Province,2024W23,0,1,2,0,0,0,0,0,0,0,40,3552,292,3040,3217,0,0,0,0,0,0,0,0,0,0
